ARI,Dataset,Fraction
0.9775849,Klein,20
0.9841683,Klein,20
0.9780278,Klein,20
0.9848289,Klein,20
0.9743475,Klein,20
0.9743549,Klein,20
0.9748503,Klein,20
0.9743845,Klein,20
0.98114,Klein,20
0.974147,Klein,20
0.9648473,Klein,20
0.974126,Klein,20
0.9766616,Klein,20
0.9789505,Klein,20
0.978294,Klein,20
0.9632659,Klein,20
0.9829328,Klein,20
0.9726185,Klein,20
0.9793881,Klein,20
0.9759748,Klein,20
0.9821278,Klein,20
0.9712449,Klein,20
0.9810592,Klein,20
0.9767147,Klein,20
0.9768506,Klein,20
0.9707736,Klein,20
0.9705371,Klein,20
0.8922799,Klein,3
0.8574411,Klein,3
0.7887219,Klein,3
0.8548658,Klein,3
0.8325731,Klein,3
0.845569,Klein,3
0.8242155,Klein,3
0.8599654,Klein,3
0.7994618,Klein,3
0.8890097,Klein,3
0.8490405,Klein,3
0.8295786,Klein,3
0.8757742,Klein,3
0.7685409,Klein,3
0.7960479,Klein,3
0.8821254,Klein,3
0.8323145,Klein,3
0.8451587,Klein,3
0.7967667,Klein,3
0.8655058,Klein,3
0.793343,Klein,3
0.8230977,Klein,3
0.8761813,Klein,3
0.8138745,Klein,3
0.8544922,Klein,3
0.8522508,Klein,3
0.9077891,Klein,3
0.8528146,Klein,3
0.8468391,Klein,3
0.836254,Klein,3
0.8483153,Klein,3
0.8175895,Klein,3
0.8346718,Klein,3
0.8219067,Klein,3
0.8204137,Klein,3
0.8361467,Klein,3
0.8192431,Klein,3
0.8556222,Klein,3
0.8480607,Klein,3
0.7526605,Klein,3
0.8611599,Klein,3
0.8155751,Klein,3
0.8279413,Klein,3
0.8495986,Klein,3
0.8355363,Klein,3
0.8315486,Klein,3
0.801849,Klein,3
0.8596339,Klein,3
0.8570698,Klein,3
0.8682913,Klein,3
0.8910185,Klein,3
0.8425008,Klein,3
0.917427,Klein,3
0.8889116,Klein,3
0.8452002,Klein,3
0.8630907,Klein,3
0.8819728,Klein,3
0.8068285,Klein,3
0.8221252,Klein,3
0.8709496,Klein,3
0.849811,Klein,3
0.8191479,Klein,3
0.8002684,Klein,3
0.8284934,Klein,3
0.7431385,Klein,3
0.8533398,Klein,3
0.9053587,Klein,3
0.9179996,Klein,3
0.8429447,Klein,3
0.8230816,Klein,3
0.8365168,Klein,3
0.8586036,Klein,3
0.8093907,Klein,3
0.7893563,Klein,3
0.8981196,Klein,3
0.8624805,Klein,3
0.8464368,Klein,3
0.8799843,Klein,3
0.8925027,Klein,3
0.8428723,Klein,3
0.7936683,Klein,3
0.8131029,Klein,3
0.8887014,Klein,3
0.7911189,Klein,3
0.796042,Klein,3
0.8220241,Klein,3
0.8987989,Klein,3
0.8713985,Klein,3
0.8499965,Klein,3
0.832707,Klein,3
0.7927684,Klein,3
0.8124763,Klein,3
0.8255877,Klein,3
0.8207916,Klein,3
0.8814885,Klein,3
0.8341397,Klein,3
0.8184142,Klein,3
0.8197405,Klein,3
0.8107553,Klein,3
0.8829528,Klein,3
0.9802716,Klein,30
0.9792502,Klein,30
0.9749063,Klein,30
0.9771985,Klein,30
0.9824261,Klein,30
0.9701865,Klein,30
0.9796784,Klein,30
0.9740967,Klein,30
0.9787455,Klein,30
0.9766423,Klein,30
0.9802768,Klein,30
0.9794419,Klein,30
0.9714446,Klein,30
0.9821345,Klein,30
0.976231,Klein,30
0.978369,Klein,30
0.9710389,Klein,30
0.9753387,Klein,30
0.9751609,Klein,30
0.9772827,Klein,30
0.9790676,Klein,30
0.9864606,Klein,30
0.9786676,Klein,30
0.9805632,Klein,30
0.9791677,Klein,30
0.9818572,Klein,30
0.9779109,Klein,30
0.9857685,Klein,30
0.9712645,Klein,30
0.9811977,Klein,30
0.9863202,Klein,30
0.9901671,Klein,30
0.9763096,Klein,30
0.9777292,Klein,30
0.9719092,Klein,30
0.9737303,Klein,30
0.9881689,Klein,30
0.9768095,Klein,30
0.9724718,Klein,30
0.9737038,Klein,30
0.9772341,Klein,30
0.9853311,Klein,30
0.9783709,Klein,30
0.9851065,Klein,30
0.9785248,Klein,30
0.9762308,Klein,30
0.9834172,Klein,30
0.9762262,Klein,30
0.9811301,Klein,30
0.9855251,Klein,30
0.9768515,Klein,30
0.9818225,Klein,30
0.9781245,Klein,30
0.9738256,Klein,30
0.976333,Klein,30
0.9792957,Klein,30
0.9833259,Klein,30
0.983482,Klein,30
0.9763045,Klein,30
0.9835416,Klein,30
0.9757951,Klein,30
0.9782304,Klein,30
0.9833243,Klein,30
0.976029,Klein,30
0.9790595,Klein,30
0.9780408,Klein,30
0.9767411,Klein,30
0.9757138,Klein,30
0.9873312,Klein,30
0.9815902,Klein,30
0.9800274,Klein,30
0.9827629,Klein,30
0.9825101,Klein,30
0.9780957,Klein,30
0.9855752,Klein,30
0.9820419,Klein,30
0.9836022,Klein,30
0.982455,Klein,30
0.9734788,Klein,30
0.9777488,Klein,30
0.9765258,Klein,30
0.9846693,Klein,30
0.9763313,Klein,30
0.9750748,Klein,30
0.9758982,Klein,30
0.9831149,Klein,30
0.9880907,Klein,30
0.9834739,Klein,30
0.9718751,Klein,30
0.98594,Klein,30
0.9772363,Klein,30
0.9810774,Klein,30
0.9771163,Klein,30
0.9832685,Klein,30
0.9807973,Klein,30
0.9802437,Klein,30
0.9832776,Klein,30
0.9792397,Klein,30
0.9764952,Klein,30
0.9795556,Klein,30
0.9853979,Klein,40
0.9833344,Klein,40
0.9781179,Klein,40
0.9819346,Klein,40
0.9846096,Klein,40
0.9716426,Klein,40
0.9853505,Klein,40
0.9830328,Klein,40
0.9790349,Klein,40
0.9812178,Klein,40
0.9819041,Klein,40
0.9799951,Klein,40
0.9756516,Klein,40
0.9825321,Klein,40
0.9810101,Klein,40
0.9830579,Klein,40
0.9719748,Klein,40
0.9734483,Klein,40
0.9760117,Klein,40
0.9830701,Klein,40
0.9815245,Klein,40
0.9874553,Klein,40
0.9796908,Klein,40
0.9773398,Klein,40
0.9768977,Klein,40
0.9868366,Klein,40
0.9792312,Klein,40
0.9833627,Klein,40
0.9808901,Klein,40
0.9820945,Klein,40
0.987949,Klein,40
0.9932835,Klein,40
0.9794935,Klein,40
0.9847103,Klein,40
0.9795183,Klein,40
0.969007,Klein,40
0.985648,Klein,40
0.9796504,Klein,40
0.9730008,Klein,40
0.9777944,Klein,40
0.983052,Klein,40
0.9877829,Klein,40
0.9754454,Klein,40
0.985669,Klein,40
0.9820857,Klein,40
0.9762723,Klein,40
0.9852304,Klein,40
0.9796014,Klein,40
0.9775887,Klein,40
0.9884464,Klein,40
0.9846847,Klein,40
0.9816822,Klein,40
0.9798446,Klein,40
0.9799124,Klein,40
0.9722142,Klein,40
0.9821619,Klein,40
0.9848477,Klein,40
0.9803679,Klein,40
0.9772824,Klein,40
0.9822148,Klein,40
0.981591,Klein,40
0.9807127,Klein,40
0.9847417,Klein,40
0.9839171,Klein,40
0.9807599,Klein,40
0.9807294,Klein,40
0.9778015,Klein,40
0.9741768,Klein,40
0.9885503,Klein,40
